source_id,model_name,prompt_type,generated_abstract,temperature,top_p
2-s2.0-105029619388,llama-3.1,factual,"The development of machine learning models for atomic configurations has given rise to numerous sets of descriptors, yet many of these are plagued by incompleteness or functional dependence. Incomplete descriptor sets fail to accurately capture the complexities of atomic environments, while complete constructions often suffer from redundancy, where certain descriptors can be expressed as functions of others. This redundancy does not contribute to improved discrimination between atomic configurations and instead increases computational complexity.

To address this issue, we employ pattern recognition techniques to identify and remove dependent descriptors, resulting in a minimal set that satisfies completeness. We apply this strategy in two distinct contexts: the refinement of an existing description, the atomic cluster expansion, and the augmentation of an incomplete construction. The latter yields a novel message-passing neural network architecture capable of recognizing up to 5-body patterns.

Our results demonstrate the efficacy of this approach in optimizing descriptor sets across various descriptors and application datasets. Notably, the proposed architecture exhibits strong accuracy on state-of-the-art benchmarks while maintaining low computational costs. These findings underscore the importance of carefully selecting and refining descriptor sets to enhance machine learning model performance.",0.4,0.9
2-s2.0-105029604305,llama-3.1,factual,"Silicon carbide (SiC), a technologically relevant material, exhibits unique properties in high-energy grain boundaries (HEGBs). However, the diffusion mechanism of cesium (Cs) within these HEGBs remains poorly understood due to limitations in computational modeling. Specifically, long-time scale simulations are hindered by the lack of reliable and computationally efficient interatomic potentials. This study addresses this challenge by developing a machine learning framework for constructing moment tensor potentials (MTPs), which enables efficient active training on complex structures. Our approach facilitates the extraction of unknown regions from HEGBs, allowing for the first time simulations of Cs diffusion in both amorphous SiC and HEGBs. The results indicate that Cs diffuses via a cage-breaking mechanism, supported by radial distribution functions, Voronoi analysis, and electronic structure calculations. These findings provide valuable insights into local atomic environments and weak interactions governing Cs mobility. Furthermore, this work presents a generalizable workflow for training machine learning interatomic potentials (MLIPs) on complex structures, offering a significant advancement in modeling fission product behaviors.",0.4,0.9
2-s2.0-105029603957,llama-3.1,factual,"The ionospheric Spread-F phenomenon has garnered substantial attention in both ionospheric electrodynamic research and radio-based technology applications, including communication and navigation systems. However, the classification of Spread-F remains largely dependent on manual interpretation of ionograms by experts, which is plagued by inefficiencies (~10 seconds per figure) and subjective biases. Currently, there is a lack of publicly available ionogram datasets that classify Frequency/Range/Mix/Strong Range SF (FSF/RSF/MSF/SSF) through either human labor or machine processing.

To address this limitation, we present an expert-guided ionogram dataset that represents the most comprehensive collection in terms of class coverage, the largest volume, and the most extensive temporal span to date. This dataset comprises 150,000 ionograms (30,000 per class, including a ""non-SF"" group) spanning 14 years from 2002 to 2016, thereby capturing a diverse range of solar and geomagnetic conditions. Based on this dataset, we develop a classification model using a deep learning architecture that can be applied to further data, facilitating more efficient and objective classification of ionograms. This study aims to bridge the gap between manual interpretation and automated processing in ionospheric research, ultimately contributing to enhanced operational applications in radio-based technologies.",0.4,0.9
2-s2.0-105029601184,llama-3.1,factual,"The accuracy of current survival prediction models for extra-nodal natural killer/T-cell lymphoma (ENKTL) is suboptimal, necessitating the development of more effective predictive tools. This study aimed to address this limitation by designing and validating a machine learning-based algorithm that integrates clinical and pathological covariates to predict patient outcomes. A comprehensive dataset comprising 977 subjects from four cohorts was analyzed to evaluate model performance using a range of metrics, including Harrell's c-index, receiver operating characteristic (ROC) curves, calibration curves, and decision curve analysis (DCA). The results indicate that the Gradient Boosting Machine (GBM) outperformed other machine learning algorithms tested in this study, leading to the development of the ENKTL-ML score. The performance of the ENKTL-ML score was evaluated across multiple cohorts, yielding c-index values ranging from 0.82 to 0.84, indicating a high degree of accuracy. Furthermore, comparison with established models (IPI, KPI, PINK-E, and NRI) revealed that the ENKTL-ML score significantly outperformed these benchmarks in predicting survival outcomes. This study demonstrates the potential of machine learning-based approaches in improving the prognostic accuracy for patients with ENKTL, facilitating more informed clinical decision-making.",0.4,0.9
2-s2.0-105029597998,llama-3.1,factual,"The proliferation of electric vehicles has sparked a pressing need for accurate estimation of remaining driving range, particularly in cargo transportation applications. This study addresses this challenge by developing a machine learning-based approach to predict the remaining driving range of cargo electric vehicles (CEVs). A comprehensive dataset was generated through real-world testing of a Musoshi Pop-Up Mini electric cargo vehicle on a 2 km campus route under varying load and speed conditions, allowing for high-resolution modeling of energy consumption patterns. The dataset underwent systematic preprocessing, including feature engineering and segment-wise aggregation, to prepare it for analysis. Seven regression algorithms – ElasticNet, Support Vector Regression, Random Forest, LightGBM, XGBoost, CatBoost, and ExtraTrees – were evaluated using Optuna-based Bayesian hyperparameter tuning and compared based on their performance metrics (RMSE, MAE, R²). Among the tested models, the Support Vector Regression (SVR) model yielded the most accurate predictions, with an RMSE of 2.37, MAE of 1.75, and R² of 0.892. These results demonstrate that data-driven approaches can effectively estimate energy consumption and driving range for CEVs, thereby facilitating safer and more reliable deployment of electric mobility systems.",0.4,0.9
2-s2.0-105029595426,llama-3.1,factual,"The proliferation of e-commerce has dramatically altered consumer behavior, necessitating the development of sophisticated predictive models for digital marketing strategies. This study investigates the potential of integrating machine learning (ML) models with Structural Equation Modelling (SEM) to forecast consumer purchase intentions. A comprehensive dataset comprising consumer reviews and behavioral signals from prominent e-commerce platforms is employed to examine the efficacy of various ML algorithms, including Logistic Regression, Random Forest, XGBoost, and Neural Networks, in conjunction with sentiment analysis and TF-IDF text vectorization. Furthermore, a SEM framework is proposed and validated to link consumer trust, product quality perception, and sentiment polarity to buying intentions. The results demonstrate that ensemble ML models outperform linear classifiers and provide theoretical grounding by validating latent constructs. Notably, the hybrid SEM-ML framework achieves both predictive accuracy and theoretical rigor. This research offers practical insights for e-commerce managers seeking to optimize customer engagement strategies. To enhance theoretical clarity and robustness, the SEM is anchored within established theories, including the Technology Acceptance Model (TAM) and Theory of Planned Behaviour (TPB), with testable hypotheses specified. Sentiment analysis is conducted using both VADER and DistilBERT models, and validated on a manually annotated subsample. Time-aware validation and a robustness check are also performed to ensure the reliability of the findings.",0.4,0.9
2-s2.0-105029591964,llama-3.1,factual,"Here is a rewritten abstract based on the source text:

The accurate identification and diagnosis of mental disorders and learning disabilities are crucial for timely intervention, yet traditional assessments often fall short in terms of efficiency and effectiveness. Recent advances in machine learning and feature selection techniques hold promise for improving these outcomes, but their application to large transdiagnostic datasets and quick assessment tools remains underexplored. This study addresses this gap by applying machine learning and feature selection methods to a comprehensive dataset featuring over 1,000 questionnaire items from the Healthy Brain Network (n = 4,136). A two-stage feature selection approach was employed to identify optimal item subsets for assessing various disorders and symptoms, as well as custom outcome measures for learning disabilities. The performance of these models was then compared to existing assessments through rigorous cross-validation procedures. Our results demonstrate that machine learning models using parsimonious item subsets significantly outperform traditional assessments (p = 0.004), with AUC values reaching up to 0.855 for specific learning disorders. Notably, restricting analysis to non-proprietary assessment items did not compromise performance. This study showcases the potential of leveraging existing datasets to develop efficient and effective assessment tools for mental health professionals, highlighting the importance of open-source software architectures that facilitate adaptation to diverse datasets while emphasizing the need for external validation prior to clinical implementation.",0.4,0.9
2-s2.0-105029573418,llama-3.1,factual,"The increasing prevalence of myopia poses a significant global health challenge, necessitating innovative approaches to its management. To address this concern, we developed the Myopia Progression Predictive Model (MPPM), an artificial intelligence framework based on the Transformer architecture. This model comprises two primary components: the Natural Progression Module (NPM) and the Intervention Progression Module (IPM). NPM was trained on a comprehensive dataset of refractive records from over 304,000 children and adolescents, resulting in high predictive accuracy for spherical equivalent (SE) and axial length (AL) progression over a decade. Specifically, internal testing revealed strong correlations between predicted and actual values, with SE predictions achieving an R² value of 0.94 and mean absolute error (MAE) of 0.35 diopters, while AL predictions reached R² = 0.91 and MAE = 0.16 millimeters. The model's performance was also validated in external cohorts. Building on this foundation, IPM was designed to forecast the effects of specific interventions, including atropine therapy, orthokeratology, peripheral defocus spectacles, and repeated low-level red light (RLRL) therapy. By leveraging a causal machine learning framework, MPPM enables individualized predictions of treatment outcomes, with SE and AL predictions demonstrating high accuracy across all interventions. Notably, RLRL therapy was found to slightly reverse myopia progression, while the other interventions slowed its advancement. The MPPM model holds considerable promise as an AI-driven platform for optimizing pediatric myopia management, offering a personalized approach to predicting and mitigating the effects of this prevalent condition.",0.4,0.9
2-s2.0-105029568230,llama-3.1,factual,"The production of nanofibers through electrospinning is a complex process influenced by multiple parameters, including process conditions, environmental factors, and solution properties. As a result, achieving optimal nanofiber quality requires extensive experimentation and fine-tuning. However, the scarcity of publicly available datasets hinders modeling efforts and limits the establishment of reference parameters for stable nanofiber formation. To address this challenge, we have developed Cogni-e-Spin DB 1.0, a comprehensive dataset comprising 809 experimental records of electrospinning parameters and corresponding nanofiber morphologies. This dataset is designed to provide a large-scale, diverse, and machine-learning-ready resource for researchers seeking to understand the complex relationships between process conditions and nanofiber properties. Our dataset enables thorough analyses of process-structure-property interactions and supports the application of machine learning methods to gain insights into electrospinning phenomena. To validate the dataset's reliability and utility, we have verified its integrity against original publications and demonstrated its effectiveness through proof-of-concept machine learning modeling. The Cogni-e-Spin DB 1.0 dataset is intended to accelerate fundamental research, model development, and process optimization in various electrospinning applications, while a companion web platform facilitates live contributions and interactive exploration of the data, promoting continuous community-driven updates.",0.4,0.9
2-s2.0-105029562329,llama-3.1,factual,"Recent advancements in machine learning have revolutionized the field of cancer cell classification, with a growing emphasis on leveraging high-resolution microscopy images to extract informative features. However, traditional methods often rely heavily on manual preprocessing and handcrafted feature extraction, which can introduce user bias and limit scalability. This study addresses these limitations by developing an automated, interpretable, and organelle-focused deep learning framework for classifying breast cancer cell lines from fluorescence microscopy images.

The proposed framework employs a novel end-to-end approach that incorporates patch-based sampling, sparsity filtering, and channel-wise intermediate fusion to extract and integrate organelle-specific features. To ensure model interpretability, Grad-CAM visualizations and single-organelle classifier analyses were employed to examine the relationships between different organelles and classification decisions.

The framework was evaluated on a dataset comprising fluorescence microscopy images from six breast cancer cell lines using 5-fold cross-validation, yielding a classification accuracy of 97.1±1.1%. Notably, this performance surpassed or matched conventional handcrafted feature-based approaches while eliminating the need for manual segmentation and 3D rendering steps. Further analysis revealed that mitochondria played a crucial role in classification decisions, underscoring the importance of organelle morphology and spatial organization.

The proposed framework offers a scalable, automated, and interpretable deep learning solution that has significant implications for microscopy-based phenotyping and computational pathology. By leveraging organelle-specific features, this study demonstrates the potential for improved cancer cell classification accuracy and sheds light on the underlying mechanisms driving classification decisions.",0.4,0.9
2-s2.0-105029547125,llama-3.1,factual,"The incidence of accidental falls among individuals aged 65 and older has become a pressing public health concern due to its high frequency and severe consequences. Such falls can lead to fractures, traumatic brain injuries, and long-term complications if timely intervention is not provided. In response, researchers have been developing automated fall detection systems that integrate intelligent algorithms with sensor-based data acquisition to facilitate rapid response and medical assistance. This study undertakes a systematic literature review within the PRISMA framework to examine the application of Artificial Intelligence (AI) and Machine Learning (ML) approaches in fall detection. A comprehensive search across major databases yielded 182 relevant articles after removing duplicates and applying strict inclusion/exclusion criteria from an initial pool of 596 articles. The review encompasses a wide range of AI/ML techniques applied to fall detection using diverse sensor modalities, including wearable, vision-based, ambient, and multimodal systems. Furthermore, it summarizes the publicly available datasets and sensor configurations used in existing studies. This comprehensive perspective enables comparison of trade-offs across sensing modalities and informs effective system development for real-world deployment. The review provides a comparative overview of AI/ML-based fall detection approaches, highlighting differences in accuracy, sensitivity, and dataset usage as reported in the literature. Moreover, it outlines several open research challenges in using AI and ML to detect falls and presents potential future perspectives for advancing this field.",0.4,0.9
2-s2.0-105029531584,llama-3.1,factual,"Retinitis pigmentosa (RP) is a hereditary retinal degeneration characterized by night blindness, progressive loss of peripheral vision, and eventual blindness. Current treatments, including gene therapy and retinal prosthetics, are limited in their applicability due to the complexity and heterogeneity of RP. To address this challenge, we developed a diagnostic and prognostic model for RP utilizing large-scale deep learning (DL) architectures pre-trained on fundus image datasets. Our results indicate that the EfficientNetB4 model achieves an Area Under the Receiver Operating Characteristic Curve (AUC) of 0.94 in diagnosing RP, with improved performance in patients with preserved vision. For visual prognosis, we employed machine learning survival analysis to integrate DL-derived image features and clinical metadata, adopting a strict patient-level split to mitigate data leakage. Notably, our hybrid model combining imaging and clinical data outperformed models relying on either modality alone, particularly among female patients. Time-dependent AUC analysis revealed that prognostic performance peaked between 500 and 1400 days post-examination. SHAP-based interpretability analysis further elucidated the distinct features contributing to RP diagnosis and prognosis. While our study demonstrates the value of fundus images in predicting visual outcomes, external validation using diverse datasets is essential for translating these findings into clinical practice.",0.4,0.9
2-s2.0-105029519230,llama-3.1,factual,"In the realm of electrocardiogram (ECG) signal processing, accurate and efficient classification is crucial for real-time medical applications and wearable devices. However, existing methods face significant challenges due to noise contamination, limited labeled data, and high model complexity. To address these issues, we propose a novel Quantum Angle-Distance Kernel (QADK) framework that leverages quantum-inspired principles to enhance class resolution while maintaining transparency. QADK represents heartbeats as descriptive features mapped into fixed-length complex vectors using a simulated quantum coding scheme. The encoded patterns are then compared using a balanced mixture of similarity scores and projection gaps, generating a stable kernel matrix compatible with conventional machine learning tools. We evaluate the performance of QADK on a large ECG dataset through 100 Monte-Carlo measurements, comparing it to established methods such as linear SVM, RBF SVM, 1D CNN, MLP, and single-class anomaly detection. Our results demonstrate that QADK-SVM achieves state-of-the-art classification accuracy, with an average AUC-ROC of 0.977 ± 0.003, macro F1 score of 0.923 ± 0.005, and accuracy of 0.937 ± 0.004. Furthermore, we show that both components of the QADK pipeline contribute to its performance, with the fidelity term primarily improving specificity. Theoretical analysis reveals that QADK is compatible with near-term quantum hardware, requiring only 11 qubits and standard swap tests. This makes it an attractive solution for ECG classification in resource-constrained environments, where strong accuracy, high interpretability, and efficient computation are essential.",0.4,0.9
2-s2.0-105029510802,llama-3.1,factual,"Here is a rewritten abstract for the machine learning study:

Osteoporosis poses a significant public health concern in aging populations, with diagnosis often relying on dual-energy X-ray absorptiometry (DXA), a costly and radiation-based method. This study aimed to develop an interpretable machine learning model that can predict osteoporosis risk using readily available demographic, biochemical, and lifestyle data. The proposed model was designed as an accessible online calculator for rapid clinical and community screening.

To develop the model, we leveraged the Korean National Health and Nutrition Examination Survey (KNHANES) dataset from 2008-2011, excluding individuals with over 30% missing data and imputing incomplete variables using polynomial interpolation and mode imputation. Spearman correlation analysis identified osteoporosis-related features, which were then reduced to 15 essential predictors through GradientBoost-RFE and LASSO regression. We trained GradientBoost, CatBoost, and XGBoost algorithms on these predictors to estimate abnormal DXA results and classify bone status.

Our model was evaluated using the area under the receiver operating characteristic curve (AUC), specificity (SPE), and accuracy (ACC) metrics, with a temporal validation set from the 2008 wave of KNHANES for testing. The optimal model achieved an AUC of 0.845 and SPE of 0.897 for identifying abnormal DXA outcomes, and demonstrated high performance in multiclass classification tasks.

We conclude that our interpretable machine learning model accurately predicts osteoporosis risk and DXA abnormalities using readily available data. To facilitate clinical translation, the model has been deployed as an interactive online calculator, enabling non-invasive, rapid osteoporosis risk assessment without radiological testing. This tool may support early identification of high-risk individuals, optimize DXA utilization, and enhance preventive care strategies across diverse healthcare settings.",0.4,0.9
2-s2.0-105029510801,llama-3.1,factual,"The deployment of unsupervised anomaly detection systems in diverse smart home environments is often hampered by the requirement for time-consuming and costly hyperparameter tuning at each site. To address this critical challenge, we investigate the concept of hyperparameter transferability as a means of creating plug-and-play security solutions that require minimal setup. This study systematically evaluates the performance of five prominent unsupervised machine learning models – Elliptic Envelope, Isolation Forest, Local Outlier Factor, One-Class SVM, and Autoencoder – across five widely used IoT datasets.

Our evaluation methodology involves rigorous dataset-specific hyperparameter tuning to establish a baseline for each model's performance. We then compare the results of transferred configurations against both per-dataset optimization and default settings. Our findings indicate that while optimal performance is still achieved through dataset-specific tuning, an intelligent transfer strategy significantly outperforms default configurations in many cases.

Notably, our analysis reveals that the IoTID20 dataset serves as a particularly effective source for hyperparameter transfer due to its high feature space complexity and cluster overlap, which create a challenging yet robust training environment. Furthermore, we identify a strategic trade-off between model performance and ease of use: while Autoencoders and Local Outlier Factor deliver outstanding absolute performance, Isolation Forest offers the most substantial improvement over default settings.

This research provides a quantitative framework for dataset-driven initialization, offering insights that can inform the development of robust, low-maintenance intrusion detection systems. By identifying effective hyperparameter transfer strategies, our study aims to facilitate the widespread adoption of anomaly detection systems in smart home environments.",0.4,0.9
2-s2.0-105029501162,llama-3.1,factual,"The early and accurate detection of Alzheimer's disease (AD) remains a critical clinical challenge. Recent advances in machine learning have enabled the development of novel diagnostic models that leverage blood transcriptomic data to identify individuals at risk of developing AD. This study presents an innovative approach, the Lactylation-Derived Score (LDS), which integrates lactylation-related genes from nine AD cohorts using a standardized pipeline incorporating z-score normalization, random forest-based feature selection, plsRglm modeling, and 10-fold cross-validation. The LDS model was externally validated on seven independent brain transcriptomic datasets and clinically evaluated in an external plasma cohort comprising 540 samples. Logistic regression was employed to combine LDS with plasma phosphorylated tau 181 (p-tau181) and p-tau217 biomarkers, yielding a three-marker model that achieved superior diagnostic performance compared to individual components. The results demonstrate the potential of LDS as a scalable and interpretable transcriptomic model for AD diagnosis, complementing existing plasma-based biomarkers and supporting precision medicine approaches in this field. Notably, LDS-high individuals exhibited distinct neuroinflammatory activation and metabolic stress signatures, underscoring its utility in identifying at-risk populations and informing targeted therapeutic interventions.",0.4,0.9
